Well,Desired Product Smiles
A1,ClC1=CC=C2C=CC(Br)=CC2=N1
A2,COC1=NC2=CC=C(Br)C=C2C=C1
A3,CCC1=CC=C2C=C(C=NC2=C1)C(O)=O
A4,CC1=CC(C)=C2C=CC(=CC2=N1)C(O)=O
A5,BrC1=CC=C2C=CC=C(Br)C2=N1
A6,BrC1=CC=C2N=C(C=CC2=C1)C#N
A7,ClC1=CC=NC2=CC=C(Br)C=C12
A8,N1C=C(C=N1)C1=NC2=CC=CC=C2C=C1
A9,OC1=CC(OCC2=CC=CC=C2)=C2C=CC=CC2=N1
A10,CN1CCN(CC1)C1=CC=NC2=CC=C(N)C=C12
A11,FC(F)(F)C1=CC=C2C=CC=C(Br)C2=N1
A12,IC1=CC2=C(C=C1)N=CC=C2
B1,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=C(Br)C=N1
B2,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=NC2=C1C=CN2
B3,CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(Br)C=N1
B4,BrC1=CC2=CC=CC=C2N=C1
B5,CC(C)(C)OC(=O)N1CCN(CC1C(O)=O)C(=O)OCC1C2=CC=CC=C2C2=CC=CC=C12
B6,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=NC(Cl)=N1
B7,CC1=CC(=NC=C1Br)N1CCNCC1
B8,BrC1=CC=C(Br)C2=C1C=CC=N2
B9,BrC1=CC=CN=C1N1CCOCC1
B10,O=C(NC1=CC2=C(C=C1)N=CC=C2)NC1=CC2=C(C=C1)N=CC=C2
B11,OC(=O)C1=CC(=CN=C1Cl)C(F)(F)F
B12,CN1CCN(CC1)C1=NC=C(Br)C=C1
